Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
3126;Magdeburg;MO_TT;01.01.1946;30.06.1946;6;Kriegsjahre;eor;                                                                                                                                           
3126;Magdeburg;MO_TX;01.01.1933;28.02.1933;2;;eor;                                                                                                                                                      
3126;Magdeburg;MO_TX;01.04.1940;30.04.1940;1;Kriegsjahre;eor;                                                                                                                                           
3126;Magdeburg;MO_TX;01.02.1945;31.12.1946;23;Kriegsjahre;eor;                                                                                                                                          
3126;Magdeburg;MX_TX;31.01.1933;01.02.1933;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_TX;01.04.1940;30.04.1940;30;Kriegsjahre;eor;                                                                                                                                          
3126;Magdeburg;MX_TX;01.02.1945;31.12.1946;699;Kriegsjahre;eor;                                                                                                                                         
3126;Magdeburg;MX_TN;31.01.1933;01.02.1933;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_TN;01.04.1940;30.04.1940;30;Kriegsjahre;eor;                                                                                                                                          
3126;Magdeburg;MX_TN;01.02.1945;31.12.1946;699;Kriegsjahre;eor;                                                                                                                                         
3126;Magdeburg;MX_FX;04.01.1967;10.01.1967;7;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;15.01.1967;25.01.1967;11;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;28.01.1967;28.01.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;31.01.1967;31.01.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;07.02.1967;07.02.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;09.02.1967;12.02.1967;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;14.02.1967;14.02.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;17.02.1967;18.02.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;26.02.1967;27.02.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;05.03.1967;06.03.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;08.03.1967;09.03.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;29.03.1967;29.03.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;31.03.1967;31.03.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;02.04.1967;02.04.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;04.04.1967;04.04.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;06.04.1967;10.04.1967;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;12.04.1967;16.04.1967;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;27.04.1967;28.04.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.04.1967;04.05.1967;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;07.05.1967;07.05.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;09.05.1967;11.05.1967;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;13.05.1967;14.05.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;17.05.1967;17.05.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;19.05.1967;22.05.1967;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;27.05.1967;27.05.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.05.1967;04.06.1967;6;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;06.06.1967;06.06.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;08.06.1967;09.06.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;14.06.1967;14.06.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;16.06.1967;20.06.1967;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;22.06.1967;25.06.1967;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;27.06.1967;27.06.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;29.06.1967;29.06.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;01.07.1967;07.07.1967;7;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;10.07.1967;13.07.1967;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;16.07.1967;19.07.1967;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;21.07.1967;22.07.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;24.07.1967;27.07.1967;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.07.1967;01.08.1967;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;04.08.1967;04.08.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;06.08.1967;09.08.1967;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;13.08.1967;14.08.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;18.08.1967;19.08.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;21.08.1967;02.09.1967;13;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;06.09.1967;13.09.1967;8;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;15.09.1967;21.09.1967;7;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;24.09.1967;29.09.1967;6;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;01.10.1967;01.10.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;10.10.1967;12.10.1967;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;14.10.1967;14.10.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;19.10.1967;21.10.1967;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;23.10.1967;27.10.1967;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.10.1967;31.10.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;04.11.1967;05.11.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;07.11.1967;09.11.1967;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;13.11.1967;14.11.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;16.11.1967;17.11.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;19.11.1967;22.11.1967;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;24.11.1967;27.11.1967;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.11.1967;02.12.1967;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;10.12.1967;14.12.1967;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;20.12.1967;20.12.1967;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;25.12.1967;26.12.1967;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;29.12.1967;03.01.1968;6;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;06.01.1968;07.01.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;09.01.1968;10.01.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;19.01.1968;23.01.1968;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;01.02.1968;01.02.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;03.02.1968;15.02.1968;13;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;17.02.1968;18.02.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;20.02.1968;20.02.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;22.02.1968;04.03.1968;12;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;07.03.1968;07.03.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;24.03.1968;25.03.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;27.03.1968;30.03.1968;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;05.04.1968;05.04.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;10.04.1968;10.04.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;12.04.1968;14.04.1968;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;16.04.1968;22.04.1968;7;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;25.04.1968;28.04.1968;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.04.1968;30.04.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;02.05.1968;03.05.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;05.05.1968;05.05.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;08.05.1968;09.05.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;12.05.1968;13.05.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;15.05.1968;15.05.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;18.05.1968;18.05.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;20.05.1968;21.05.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;26.05.1968;29.05.1968;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;31.05.1968;31.05.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;03.06.1968;05.06.1968;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;07.06.1968;08.06.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;12.06.1968;12.06.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;15.06.1968;15.06.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;17.06.1968;19.06.1968;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;22.06.1968;23.06.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;25.06.1968;25.06.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.06.1968;02.07.1968;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;04.07.1968;05.07.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;10.07.1968;10.07.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;13.07.1968;14.07.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;17.07.1968;17.07.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;21.07.1968;24.07.1968;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;27.07.1968;02.08.1968;7;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;04.08.1968;05.08.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;07.08.1968;07.08.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;09.08.1968;11.08.1968;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;13.08.1968;13.08.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;20.08.1968;24.08.1968;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;27.08.1968;30.08.1968;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;01.09.1968;19.09.1968;19;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;21.09.1968;21.09.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;26.09.1968;29.09.1968;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;02.10.1968;05.10.1968;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;08.10.1968;10.10.1968;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;12.10.1968;12.10.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;15.10.1968;15.10.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;19.10.1968;28.10.1968;10;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;30.10.1968;03.11.1968;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;05.11.1968;05.11.1968;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;07.11.1968;09.11.1968;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;11.11.1968;12.11.1968;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;15.11.1968;23.11.1968;9;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;25.11.1968;07.12.1968;13;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;10.12.1968;22.12.1968;13;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;28.12.1968;31.12.1968;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;03.01.1969;10.01.1969;8;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;12.01.1969;12.01.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;14.01.1969;22.01.1969;9;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;24.01.1969;28.01.1969;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;04.02.1969;08.02.1969;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;10.02.1969;14.02.1969;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;16.02.1969;08.03.1969;21;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;10.03.1969;12.03.1969;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;23.03.1969;29.03.1969;7;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;02.04.1969;10.04.1969;9;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;19.04.1969;20.04.1969;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;22.04.1969;06.05.1969;15;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;08.05.1969;10.05.1969;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;12.05.1969;14.05.1969;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;22.05.1969;23.05.1969;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;27.05.1969;28.05.1969;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.05.1969;30.05.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;01.06.1969;01.06.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;03.06.1969;04.06.1969;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;08.06.1969;12.06.1969;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;14.06.1969;16.06.1969;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;18.06.1969;18.06.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;20.06.1969;22.06.1969;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;25.06.1969;27.06.1969;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.06.1969;03.07.1969;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;05.07.1969;06.07.1969;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;09.07.1969;09.07.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;11.07.1969;11.07.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;14.07.1969;16.07.1969;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;18.07.1969;19.07.1969;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;21.07.1969;24.07.1969;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;26.07.1969;31.07.1969;6;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;04.08.1969;05.08.1969;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;07.08.1969;10.08.1969;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;12.08.1969;16.08.1969;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;18.08.1969;20.08.1969;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;23.08.1969;24.08.1969;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;27.08.1969;29.08.1969;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;31.08.1969;16.09.1969;17;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;19.09.1969;19.09.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;23.09.1969;26.09.1969;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;28.09.1969;28.09.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.09.1969;30.09.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;04.10.1969;23.10.1969;20;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;06.11.1969;06.11.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;14.11.1969;14.11.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;21.11.1969;23.11.1969;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;25.11.1969;25.11.1969;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.11.1969;14.12.1969;15;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;16.12.1969;29.12.1969;14;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;01.01.1970;01.01.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;04.01.1970;08.01.1970;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;11.01.1970;22.01.1970;12;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;24.01.1970;27.01.1970;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;29.01.1970;01.02.1970;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;11.02.1970;11.02.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;14.02.1970;16.02.1970;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;18.02.1970;19.02.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;22.02.1970;26.02.1970;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;28.02.1970;28.02.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;03.03.1970;04.03.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;07.03.1970;07.03.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;09.03.1970;16.03.1970;8;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;23.03.1970;24.03.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;08.04.1970;08.04.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;12.04.1970;17.04.1970;6;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;19.04.1970;19.04.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;26.04.1970;26.04.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;02.05.1970;04.05.1970;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;10.05.1970;10.05.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;12.05.1970;12.05.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;15.05.1970;16.05.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;18.05.1970;19.05.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;24.05.1970;25.05.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;28.05.1970;29.05.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;03.06.1970;08.06.1970;6;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;11.06.1970;11.06.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;14.06.1970;16.06.1970;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;19.06.1970;21.06.1970;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;23.06.1970;27.06.1970;5;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;29.06.1970;29.06.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;05.07.1970;14.07.1970;10;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;19.07.1970;19.07.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;22.07.1970;24.07.1970;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;28.07.1970;28.07.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.07.1970;10.08.1970;12;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;13.08.1970;13.08.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;15.08.1970;15.08.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;18.08.1970;18.08.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;20.08.1970;23.08.1970;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;25.08.1970;04.09.1970;11;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;07.09.1970;07.09.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;11.09.1970;12.09.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;15.09.1970;15.09.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;18.09.1970;20.09.1970;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;22.09.1970;27.09.1970;6;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;29.09.1970;30.09.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;06.10.1970;18.10.1970;13;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;21.10.1970;22.10.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;07.11.1970;08.11.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;13.11.1970;18.11.1970;6;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;20.11.1970;01.12.1970;12;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;07.12.1970;08.12.1970;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;10.12.1970;13.12.1970;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;15.12.1970;20.12.1970;6;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;22.12.1970;25.12.1970;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;27.12.1970;27.12.1970;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;29.12.1970;18.01.1971;21;;eor;                                                                                                                                                     
3126;Magdeburg;MX_FX;20.01.1971;22.01.1971;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;25.01.1971;25.01.1971;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;27.01.1971;28.01.1971;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;30.01.1971;31.01.1971;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;04.02.1971;05.02.1971;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;07.02.1971;07.02.1971;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;09.02.1971;12.02.1971;4;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;16.02.1971;21.02.1971;6;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;27.02.1971;27.02.1971;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;01.03.1971;02.03.1971;2;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;04.03.1971;06.03.1971;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;08.03.1971;08.03.1971;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;12.03.1971;12.03.1971;1;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;14.03.1971;16.03.1971;3;;eor;                                                                                                                                                      
3126;Magdeburg;MX_FX;19.03.1971;21.03.1971;3;;eor;                                                                                                                                                      
